С Новым Годом и Рождеством Христовым!,S-Novym-Godom-i-Rozhdestvom-Hristovym,2008-12-26 10:52:25,"<html><body><p>Уважаемые фрязинцы!</p>
<div>     От имени администрации и Совета депутатов города Фрязино сердечно поздравляем вас с Новым 2009 годом и Рождеством Христовым!</div>
<div>     В эти дни мы подводим итоги уходящего года и благодарим его за все лучшие моменты жизни, которые он нам подарил. Год был непростым и в то же время интересным, насыщенным памятными событиями: открыл свои двери новый детский сад, успешно реализуется программа сноса и переселения ветхого жилого фонда, 81 семья в 2008 году получила новые муниципальные квартиры, закончен капитальный ремонт Дворца культуры «Исток», завершается строительство нового, современного кинотеатра, реализуются другие социальные проекты.</div>
<div>     Год наступающий ожидается достаточно сложным, но мы искренне верим, что несмотря ни на какие финансовые трудности нам удастся сохранить в нашем наукограде атмосферу стабильности, поднять благосостояние фрязинцев и укрепить уверенность в завтрашнем дне. Надеемся, что сообща мы сумеем многое сделать на благо нашего родного города.</div>
<div>Желаем вам, дорогие фрязинцы, и вашим семьям крепкого здоровья, благополучия, счастья! Пусть каждый день Нового года принесет вам веру в свои силы, удачу и успех!</div>
<div> </div>
<div>В. УХАЛКИН, глава города,</div>
<div>Л. СОТНИКОВА, председатель Совета депутатов.</div></body></html>",1,С Новым Годом  и Рождеством Христовым! ,поздравление,"Фрязино,Архив",
Если дети оказались в беде,Esli-deti-okazalis-v-bede,2008-12-05 09:00:32,"<html><body><p> </p>
<div><span>По указанным телефонам Вы можете сообщить о детях, оказавшихся в трудной жизненной ситуации, и семьях, находящихся в социально опасном положении.</span></div>
<div align=""center""> </div>
<div align=""center""><span>Телефоны Комиссии по делам несовершеннолетних и защите их прав</span></div>
<div align=""center""><span> при  Администрации г. Фрязино: </span></div>
<div align=""center""><b> </b></div>
<div align=""center""><b><font size=""5"">4-44-27, 4-04-90</font></b></div>
<div align=""center""> </div>
<div align=""center""><span>Отдел по делам несовершеннолетних ОВД г. Фрязино: </span></div>
<div align=""center""><b> </b></div>
<div align=""center""><b><font size=""5"">4-03-07</font></b></div>
<div align=""center""><b> </b></div>
<div align=""center""><span>КДНиЗП при Губернаторе Московской области</span></div>
<div align=""center""> </div>
<div align=""center""><b><span>пейджер 660 10 55 для абонента 15055 «Дети в беде» (круглосуточно)</span></b></div>
<div align=""center""> </div>
<div align=""center""><b><font size=""5"">988-37-45, 988-37-44, 988-37-43, 988-37-42 </font></b></div>
<div align=""center""><b><font size=""5""> </font></b></div>
<div align=""center""><b><font size=""5"">8 903 100 49 09  (с 9-00 до 18-00)</font></b></div>
<div><b> </b></div>
<p> </p></body></html>",8,Если дети оказались в беде,новости,"Фрязино,Архив",
"От чистого сердца, простыми словами…",Ot-chistogo-serdtsa-prostymi-slovami…,2008-12-03 07:02:33,"<html><body><p>Ежегодно в последнее воскресенье ноября мы отмечаем замечательный, добрый и очень важный праздник – День матери. В нашей стране он появился сравнительно недавно – десять лет назад, но уже успел стать любимым многими. В этот день все слова благодарности, признательности и любви обращены к самому дорогому человеку на Земле – маме. В клубе «Факел» 28 ноября состоялся общегородской концерт, посвященный Маминому празднику.</p>
<div>      Виновниц торжества в этот вечер поздравляли ребята – воспитанники городских кружков художественной самодеятельности, клубов по месту жительства, Детской школы искусств, лауреаты конкурса «Минуты детской славы». Муниципальное учреждение «Клуб «Ровесник», в структуру которого сейчас входят все фрязинские клубы, в фойе «Факела» представило выставку разнообразных поделок, созданных детьми, которые там занимаются. Концертную программу открыли детишки, которые едва научились ходить – песню «Топает малыш» подпевал весь зал… </div>
<div>     – Мы хотим лишний раз напомнить всем, что у мамы тоже должны быть праздники! Сегодня они могут не только отвлечься от семейных хлопот и рабочих проблем, но и посмотреть, как их ребенок выступает на сцене, – рассказывает культурный организатор МУ «Клуб «Ровесник» Светлана Кинус.</div>
<div>     Для мам подготовили яркий театрализованный концерт, состоящий из песен, танцев, гимнастических этюдов, стихов. И наверное, творчество, подаренное детьми, стало в тот день главным подарком.</div>
<div> </div>
<div>Михаил ГОРНОСТАЕВ</div>
<div> </div>
<div><em><b><span>Еженедельная общественно-политическая газета г. Фрязино «Ключъ»№48 (913) от 03-09 декабря 2008 г.</span></b></em></div>
<div> </div></body></html>",8,"День матери, ""Факел""","статья в газете ""КлючЪ""","Фрязино,Архив",
Уважаемые фрязинцы!,Uvazhaemye-fryazintsy,2008-11-27 07:56:49,"<html><body><p>03/12/2008 года с 14.00 до 15.00 на территории городского округа Фрязино будет проводится техническая проверка автоматизированной системы оповещения населения Московской области с включением электросирен, жителей города просим не беспокоиться.<br/>
 </p>
<p>Управление безопасности администрации г.Фрязино</p>
<div> </div></body></html>",8,автоматизированная система оповещения ,новости,"Фрязино,Архив",
С комсомольским приветом!,S-komsomolskim-privetom,2008-11-26 11:48:46,"<html><body><p>В среду, 10 декабря, в нашем городе состоится традиционный устный выпуск газеты «Московский комсомолец» – встреча журналистов издания со своими читателями. В программе также выступление звезд эстрады, кино, ТВ и спорта. За самые интересные вопросы-записки вас ждут призы и фирменные сувениры от «МК».</p>
<div>      Мероприятие будет проходить во Дворце культуры «Исток». Начало программы – в 19 часов. Вход по бесплатным пригласительным, которые можно получить в кассах ДК и в администрации города. А с 15 часов и до конца встречи в фойе Дворца культуры будет осуществляться суперльготная подписка на «Московский комсомолец» по цене всего 360 рублей на первое полугодие 2009 года.</div>
<div> </div>
<div> </div>
<div> </div></body></html>",5,"МК, выпуск газеты «Московский комсомолец» ","статья в газете ""КлючЪ""",Архив,
Уважаемые фрязинцы!,Uvazhaemye-fryazintsy,2008-11-21 14:24:48,"<html><body><p>В наукограде Фрязино с 25 по 27 ноября 2008 года в клубе ""Факел"" состоится пятая Международная научно-практическая конференция ""Нанотехнологии производству - 2008"".</p>
<div>     Вход участников и гостей конференции в здание клуба ""Факел"" будет организован по спискам предприятий города. Желающим дополнительно принять участие в работе конференции предлагается обратиться в ""Дирекцию программы развития наукограда Фрязино"" по телефону (496 25) 5-54-28, адрес: Спортивный проезд, дом 5. каб.3.</div></body></html>",5,"конференция ""Нанотехнологии производству - 2008""",объявление,"Фрязино,Архив",
Уважаемые фрязинцы!,Uvazhaemye-fryazintsy,2008-11-11 07:54:53,"<html><body><p>     По информации правоохранительных органов на территории Российской Федерации, существует угроза проведения террористических актов на наземном транспорте.<br/>
     Просьба к гражданам, находящимся на всех видах пассажирского транспорта и в местах массового  пребывания, проявлять повышенную бдительность. Обо всех случаях обнаружения признаков подготовки и совершения террористических актов (выявлению подозрительных лиц, предметов) немедленно информировать органы безопасности и правопорядка: дежурная часть ОВД по городскому округу г.Фрязино ( тел.02, 56-7-23-11); оперативный дежурный единой дежурно-диспетчерской службы администрации г.Фрязино (тел.56-4-36-01, 56-6-92-23).</p>
<div> </div>
<div>Антитеррористическая комиссия г.Фрязино</div></body></html>",8,"террор, транспорт","статья в газете ""КлючЪ""","Фрязино,Архив",
НА СТРАЖЕ ЗАКОНА,NA-STRAZHE-ZAKONA,2008-11-06 09:56:27,"<html><body><p>Уважаемые сотрудники и ветераны правоохранительных органов!От имени администрации и Совета депутатов города Фрязино сердечно поздравляем вас с профессиональным праздником – Днем милиции!</p>
<div>Этот праздник – дань уважения сильным, мужественным людям, которые считают своим гражданским и нравственным долгом защищать законность и справедливость, жизнь и права человека, интересы государства и общества. Каждый из вас связал свою судьбу с трудной и героической профессией. Каждый день в мирное время на службе вы подвергаетесь опасности со стороны преступности. Этот враг ведет зачастую нечестную войну, в которой гибнут ни в чем не повинные люди. Только добросовестное и самоотверженное отношение сотрудников милиции к службе помогут успешно решать сложнейшие задачи противодействия преступности.</div>
<div>В органах внутренних дел нашего города служат немало высококлассных специалистов, которые достойно носят звание защитников закона. Мы благодарим сотрудников фрязинского Отдела внутренних дел за высокий профессионализм и самоотверженность, которые проявляются в повседневной работе, за преданность выбранной профессии и долгу.</div>
<div>В преддверии профессионального праздника искренне желаем крепкого здоровья, счастья, благополучия и успехов в служении Отечеству!</div>
<div> </div>
<div>В. УХАЛКИН, глава г. Фрязино,</div>
<div>Л. СОТНИКОВА, председатель Совета депутатов.</div></body></html>",1,день милиции,"статья в газете ""КлючЪ""","Фрязино,Архив",
ЕДИНЕНИЕ РАДИ РОССИИ,EDINENIE-RADI-ROSSII,2008-10-30 07:11:25,"<html><body><div>
<div> </div>
<div><span><span>     Дорогие фрязинцы! От имени администрации и Совета депутатов города поздравляем вас с Днем народного единства!</span></span></div>
<div><span><span>Во все времена единение народа было, есть и будет для России главной национальной идеей и в политическом, и в духовном плане. Это та историческая основа, которая связывает наше прошлое, настоящее и будущее. Именно в единстве народа – залог развития и процветания Российского государства, основа его могущества, величия и суверенности. </span></span></div>
<div> </div>
<div><span><span>     В далеком 1612 году народное ополчение под предводительством великого гражданина Кузьмы Минина и князя Дмитрия Пожарского в едином духовном и ратном порыве освободило Москву и положило начало для выхода страны из глубокого политического, духовного и нравственного кризиса, известного как Смутное время. У Дня народного единства, утвержденного в память о тех героических событиях, актуальный современный смысл и значение. Единение ради сохранения нашей богатой истории, уникальной культуры, единение ради процветания мощного государства, в котором должны жить наши дети и внуки, – вот главная идея, положенная в основу этого праздника. День народного единства призван напомнить о том, что мы, россияне, принадлежащие к разным социальным группам, национальностям и вероисповеданиям – единый народ с общей исторической судьбой и общим будущим.</span></span></div>
<div> </div>
<div><span><span>    Искренне желаем всем фрязинцам мира и благополучия, силы духа, веры в себя и в родную страну!</span></span></div>
<div align=""right""> </div>
<div align=""right""><span><span><b> </b></span></span></div>
<div align=""right""><span><span><b>В. Ухалкин, глава города, </b></span></span></div>
<div align=""right""><span><span><b>Л. Сотникова, председатель Совета депутатов</b></span></span><span><span><b>.</b></span></span></div>
<div><span><span> </span></span></div>
</div>
<p> </p></body></html>",1,"4 ноября, праздник",новости,Архив,
Школе №1 - 70 лет!,Shkole-1---70-let,2008-10-08 11:22:31,"<html><body><div>
<p> </p>
<p><span><font size=""3""><font face=""Times New Roman"">«…Мы, ученики Гребневской школы, в количестве пятисот человек учимся в крайне тяжелых условиях. У нас семь небольших комнат на 13 классов, поэтому нам приходится заниматься в две смены. Мы, ученики двух седьмых классов, в количестве 66 человек – все имеем желание учиться дальше, но попасть в десятилетку в Щелково многим из нас не удастся, так как там не хватает мест. Все мы радовались, когда узнали, что завод приступил к постройке школы, но в последнее время у нас появились тревога и опасение: мы боимся, что школа не будет готова к новому учебному году» – эти строки из открытого письма, которое ученики седьмых классов Гребневской неполной школы адресовали директору завода «Радиолампа» товарищу Храмову. В своем ответном письме директор завода пишет: «Завод приступил в 1938 году к строительству школы, рассчитанной на 880 учащихся. Я беру на себя обязательство: лично наблюдать за постройкой<span> </span>и обязуюсь школу учащимся предоставить к началу учебного 1938 года».<o:p></o:p></font></font></span></p>
<p><span><font face=""Times New Roman"" size=""3"">Строители выполнили обещание: 1 сентября 1938 года в рабочем поселке Фрязино произошло торжественное событие – открытие новой средней школы. Учебного заведения, которому суждено было пройти долгий, полный забот, тревог, открытий и памятных событий, путь.</font></span></p>
<p><span><font size=""3""><font face=""Times New Roman"">Первым директором школы был назначен <b>Василий Никитович Жестков</b>. Многие жители нашего города помнят этого замечательного человека. С какой любовью растил он школу: подбирал педагогический коллектив, закупал мебель и оборудование, благоустраивал<span> </span>территорию, буквально дневал и ночевал в учебном заведении. <o:p></o:p></font></font></span></p>
<p><span><font size=""3""><font face=""Times New Roman"">Началась война. Ушли на фронт выпускники и учителя. В суровые военные годы директорами были: <b>Анна Михайловна Авдеева</b>, <b>Нина Никитична Гулина</b>, <b>Дарья Михайловна Головина</b>. Занятия теперь проходили в двух стандартных домах напротив школы, часть учащихся стали ездить учиться в Ивантеевку и Щелково. Ребята вместе с учителями работали в колхозе имени В.И. Ленина, заготавливали дрова для отопления школы. Недавно к нам в школу пришел выпускник нашей школы 1947 года – <b>Владислав Сергеевич Зайцев</b>. Он прекрасно помнит то далекое время, своих преподавателей: учительницу географии <b>Юлию Алексеевну Камышову</b>, учителя немецкого языка <b>Фабиана Григорьевича Фенстера</b>, <b>Веру Николаевну </b>и <b>Михаила Михайловича Лыхиных</b>, <b>Марию Дмитриевну Крат</b>, <b>Анну Георгиевну Дыжину</b>, <b>Зинаиду Александровну Пяткину</b>, <b>Софью Софроновну Забродину</b>, <b>Елену Павловну Эстрову</b>, <b>Наталью Григорьевну Верховень </b>и других. Владислав Сергеевич вспоминал, что летом 1941 года в здании школы находился пионерский лагерь. Ребятам в лагере очень нравилось – и интересно, и рядом с домом. Война прервала мирное детство, в школе разместилась военная часть, а с 1942 года в учебном заведении проходило формирование воздушных десантных бригад. Теперь к ребятам в класс часто стали приходить военные – учили, как обезвреживать бутылки с зажигательной смесью, говорили, что надо быть бдительными, своим трудом и учебой помогать фронту. Ребятам все это понимали – ведь почти у всех отцы и старшие братья находились на фронте.<o:p></o:p></font></font></span></p>
<p><span><font size=""3""><font face=""Times New Roman"">Отгремела война и вновь школа открыла свои двери для детворы. В августе 1945 года ее директором стал фронтовик <b>Моисей Федорович Федоров</b>, который одновременно вел историю. Вместе с ним пришла работать и его жена, учительница химии <b>Галина Степановна Чеберако</b>. Во время войны, когда муж был на фронте, Галина Степановна трудилась в Трубинской семилетней школе. Время было тяжелое, послевоенное, многие дети остались без родителей. Владислав Сергеевич Зайцев вспоминает, как учителя старались скрасить осиротевшее детство своих учеников. Ребята очень любили собираться в школе после уроков, занимались в разных кружках. Особенно нравился мальчишкам авиамодельный кружок. Однажды ребята решили написать письмо Клименту Ефремовичу Ворошилову, чтобы он помог приобрести материалы для конструирования моделей самолетов. И вскоре от знаменитого маршала пришла в школу посылка со всем необходимым для работы кружка. Еще любили ребята акробатический кружок, который вел учитель физкультуры <b>Геннадий Сергеевич Калинин</b>. Юные спортсмены выступали на вечерах перед одноклассниками и родителями, и в поселковом клубе перед жителями Фрязино. В школу пришли работать учителя-фронтовики <b>Константин Гаврилович Семин</b>, <b>Павел Николаевич Матвеев</b>, <b>Александр Алексеевич Булочников</b>, <b>Петр Александрович Мернов</b>, <b>Николай Митрофанович Кравченко</b>, <b>Вера Павловна Рысакова</b>, <b>Рудольф Исаакович Волошин</b>, <b>Леонид Петрович Зайцев</b>. Все они были молоды, увлечены своей работой, полны энтузиазма и планов на будущее. Именно в это время в учебном заведении стали закладываться те традиции, которые впоследствии будут определять деятельность педагогического коллектива. Самой сильной стороной работы школы на протяжении всех лет ее существования было постоянное стремление к созданию содружества учителей и учеников, союза, без которого не может быть полноценной жизнь и учеба.<o:p></o:p></font></font></span></p>
<p><span><font size=""3""><font face=""Times New Roman"">Мы поздравляем всех жителей нашего города, в разные годы связанных со школой № 1, с 70-летним юбилеем школы. Желаем выпускникам доброго здоровья, успехов и удачи в жизни. Пусть будут здоровы и счастливы ваши дети и внуки!<o:p></o:p></font></font></span></p>
<p> </p>
</div>
<div> </div></body></html>",2,"70-летний юбилей школы, Фрязино, школа №1",Школе №1 г.Фрязино - 70 лет.,"Фрязино,ЖКХ,Образование",
«ИСТОКУ» – 65 лет!,ISTOKU-–-65-let,2008-10-01 11:38:07,"<html><body><p> 
</p><div><font size=""3"">От имени администрации и Совета депутатов города Фрязино сердечно поздравляем коллектив ФГУП «НПП «Исток» с 65-летием со дня образования предприятия!</font></div>
<div><font size=""3"">История Фрязино неразрывно связана с градообразующим предприятием «Исток», ставшим его питающей артерией. Город жил и развивался вместе и благодаря предприятию, его достижения и мощь всегда означали благополучие фрязинцев. Тысячи жителей, целые поколения и трудовые династии работали и работают на «Истоке». Предприятие стало фундаментом, на котором впоследствии вырос наш наукоград. </font></div>
<div><font size=""3"">Сегодня «Исток» – флагман отечественной СВЧ-электроники. И, безусловно, главное богатство предприятия, и залог всех достижений – это люди, талантливые и увлеченные, много сделавшие для развития отечественной науки и промышленности, повышения обороноспособности страны. На счету коллектива «Истока» много достижений и открытий, во многом благодаря которым Фрязино был присвоен статус наукограда РФ. Продукция предприятия используется в известных всему миру лучших образцах российской военной техники, без которых невозможно решение вопроса национальной безопасности России.</font></div>
<div><font size=""3"">В этот праздничный день искренне желаем всем истоковцам доброго здоровья, счастья, благополучия, новых успехов и свершений на благо наукограда Фрязино и всей России!</font></div>
<div><b><font size=""6""><span>            </span><span>В. УХАЛКИН, глава города</span></font></b></div>
<div><b><font size=""3"">Л. СОТНИКОВА, председатель Совета депутатов</font></b></div>
</body></html>",1,"Исток, юбилей, Фрязино","Поздравление ФГУП ""НПП ""Исток""","Фрязино,Архив",
